N;MARCA;ASIG;NOMASIG;GRUP;PROF;AULA0;AULA1;AULA2;AULA3;AULA4;ACTIV;EDIFICIO;NALUM;NHORAS;SESI;TIPO;NCON;SESICON;NCONFLEX;NIVELCON;CCONCIERTO;BANDAH;N2;ID;PREF;PROFN;GRUPN;AULAN;CUAD;Z;
1;0;IPEI;Intinerario para la Empleabilidad I;1COM201;FO09;A311;;;;;DGO;;;3;21;;;;;;; ;;0;;560;410;260;..................................................................................................................................;(WideMemo);
2;0;TECON;Técnica contable;1ADG201;AE2;A203;;;;;DGO;;;3;21;;;;;;; ;;1;;310;270;120;..................................................................................................................................;(WideMemo);
3;1;GDJE;Gestión doc. jur. y emp.;1ADG301;AE1;A202;;;;;DGO;;;3;111;;;;;;; ;;2;;290;360;110;..................................................................................................................................;(WideMemo);
4;0;RCCP;Reunión CCP (JD);;INF4;SAJU;;;;;;;;1;1;;401;1;;;; ;;3;;260;29999;540;..................................................................................................................................;(WideMemo);
5;0;GRH;Gestión de recursos humanos;2ADG301;AE1;A201;;;;;DGO;;;5;2111;;;;;;; ;;4;;290;490;100;..................................................................................................................................;(WideMemo);
6;0;PAF;Proy. admin. y finanzas;2ADG301;AE4;A201;;;;;DGO;;;1;1;;;;;;; ;;5;;530;490;100;..................................................................................................................................;(WideMemo);
7;0;CAC;Comunic. y atención al cliente;1ADG301;PGA4;A202;;;;;DGO;;;5;2111;;;;;;; ;;6;;1850;360;110;..................................................................................................................................;(WideMemo);
8;0;MON;Montaje;2FME203;SOL1;TCM3;;;;;DGO;;;10;3331;;;;;;; ;;7;;440;190;590;..................................................................................................................................;(WideMemo);
9;0;CF;Contabilidad y fiscalidad;2ADG301;AE2;A201;;;;;DGO;;;7;322;;;;;;; ;;8;;310;490;100;..................................................................................................................................;(WideMemo);
10;0;SE;Simulación empresarial;2ADG301;AE1;A201;;;;;DGO;;;7;2221;;;;;;; ;;9;;290;490;100;..................................................................................................................................;(WideMemo);
11;0;FPM;FORMULACIÓN Y PREPARACIÓN DE MEZCLAS;1QUI304;OP1;LANQ;;;;;DGO;;;2;2;;;;;;; ;;10;;1360;60;950;..................................................................................................................................;(WideMemo);
12;0;SAC;Servicios de atención comer.;2COM201;PC1;A313;;;;;DGO;;;4;22;;;;;;; ;;11;;1540;460;280;..................................................................................................................................;(WideMemo);
13;0;OBIQ;OPERACIONES BÁSICAS EN LA INDUSTRIA QUÍMICA;1QUI304;AQI1;A207;;;;;DGO;;;4;22;;;;;;; ;;12;;410;60;930;..................................................................................................................................;(WideMemo);
14;0;CE;Comercio electrónico;2COM201;PC2;A313;;;;;DGO;;;5;221;;;;;;; ;;13;;1190;460;280;..................................................................................................................................;(WideMemo);
15;0;GB;Guía de bicicleta;1AFD201;EF1;TBIC;;;;;DGO;;;4;4;;203;4;;;; ;;14;;170;650;550;..................................................................................................................................;(WideMemo);
16;0;GCO;Gestión de compras;1COM201;PC3;A311;;;;;DGO;;;3;21;;;;;;; ;;15;;640;410;260;..................................................................................................................................;(WideMemo);
17;0;LAL;LOGÍSTICA DE ALMACENAMIENTO;1COM303;PC3;A312;;;;;DGO;;;4;22;;;;;;; ;;16;;640;320;270;..................................................................................................................................;(WideMemo);
18;0;EDEC;Escapa. y diseño de esp. com.;2VCOM302;PC5;A313;;;;;DGO;;;4;22;;;;;;; ;;17;;110;510;280;..................................................................................................................................;(WideMemo);
19;0;LAP;LOGÍSTICA DE APROVISIONAMIENTO;2VCOM302;PC4;A313;;;;;DGO;;;5;221;;;;;;; ;;18;;710;510;280;..................................................................................................................................;(WideMemo);
20;0;TFA;Técnicas de fabricación;1IMA201;MM24;TMEC;;;;;DGO;;;6;33;;;;;;; ;;19;;1690;370;670;..................................................................................................................................;(WideMemo);
21;0;SOL;Soluciones constructivas;1MAM202;PPM1;A303;;;;;DGO;;;6;222;;;;;;; ;;20;;610;440;180;..................................................................................................................................;(WideMemo);
22;0;PM;Proc. mec. cor. con. cons. met;1FME202;OF07;LINS;;;;;DGO;;;4;22;;;;;;; ;;21;;100;170;940;..................................................................................................................................;(WideMemo);
23;0;DPV;Dinamización punto venta;1COM201;PC1;A311;;;;;DGO;;;5;221;;;;;;; ;;22;;1540;410;260;..................................................................................................................................;(WideMemo);
24;0;AFDIM;ACTIVIDADES FÍSICO-DEPORTIVAS DE IMPLEMENTOS;2AFD301;EF7;POL1;;;;;DGO;;;3;3;;;;;;; ;;23;;1630;70;510;..................................................................................................................................;(WideMemo);
25;0;LAL;LOGÍSTICA DE ALMACENAMIENTO;2VCOM302;PC5;A313;;;;;DGO;;;6;222;;;;;;; ;;24;;110;510;280;..................................................................................................................................;(WideMemo);
26;0;AIC;Aplic. Infor. para el comercio;1COM201;PC2;A311;;;;;DGO;;;4;22;;;;;;; ;;25;;1190;410;260;..................................................................................................................................;(WideMemo);
