N;ID;ABREV;TURNO;NIVEL;CURSO;GRUPO;MAXALUM;DESCRIP;TUTOR;PREF;CUAD;BANDAH;Z;
270;26;1ADG201;M;CFGM;1º;1;0;1º CFGM Gestión Administrativa;PGA1;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
360;35;1ADG301;M;CFGS;1º;1;0;1º CFGS Administración y Finanzas;AE3;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
650;11;1AFD201;M;CFGM;1º;1;0;1º CFGM Guía en el medio natural y tiempo libre;EF1;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
50;4;1AFD301;M;CFGS;1º;1;0;1º C.F.G.S Enseñanza y animación socio deportiva;EF7;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
590;7;1COM101;M;FPB;1º;1;0;1º  F. P. BÁSICA Servicios Comerciales;PC8;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
410;40;1COM201;M;CFGM;1º;1;0;1º CFGM Activ. Comerciales;OGC4;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
330;32;1COM301;M;CFGS;1º;1;0;1º CFGS Comercio Internacional;PC6;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
320;31;1COM303;M;CFGS;1º;1;0;1º CFGS Transporte y Logística;OGC2;;............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx;0;(WideMemo);
430;42;1DIFC303;D;CFGS;1º;3;0;1º CFGS dist. Des. Aplicaciones Web DISTANCIA;INF9;;xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........;0;(WideMemo);
130;12;1DMSP34;D;CFGS;1º;3;0;1º C.F.G.S Dist Prevenc. Riesgos Profe. DISTANCIA;AQI4;;xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........xxxxxxxxxxxxxxxxxx........;0;(WideMemo);
