N;N2;ID;ABREV;ABREV8;NOMBRE;POND;ACTIV;DENIVEL;DECURSO;COLORFUENT;COLORFONDO;ESTILOFOND;
1;1;392;AAPQ;AAPQ;ACONDICIONAMIENTO Y ALMACENAMIENTO PROD. QUÍMICOS;1;0;;;0;16736352;4;
2;2;453;ABAFS;ABAFS;Actividades básicas de acondicionamiento físico con soporte musical;1;0;;;0;8454143;4;
3;3;387;ABO;;Aplicaciones básicas de ofimática;1;0;;;0;16711935;4;
4;4;381;AC;;Atención al cliente;1;0;;;0;16777088;4;
5;5;451;ACCU;ACCU;Atención al cliente, consumidor y usuario;1;0;;;0;65535;4;
6;6;327;ACE;ACE;Colab. en actividades extraescolares;1;0;;;0;57088;5;
7;7;0;ACM;ACM;Acabados en carp. y mueb.;1;0;;;0;16776960;5;
8;8;1;ACO;ACO;Actividades Complementarias;1;0;;;0;16728128;5;
9;9;2;ADA;ADA;Análisis y Diseño Aplic.Inform;1;0;;;0;16736352;5;
10;10;3;ADG;ADG;Anim. y Dinám. de Grupos;1;0;;;0;16744576;5;
11;11;4;ADP;ADP;Administración Pública;1;0;;;0;65280;5;
12;12;436;ADT;ADT;Acceso a datos;1;0;;;0;16719904;4;
13;13;482;AEAFS;AEAFS;Actividades especializadas de AF con soporte musical;1;0;;;0;16719904;4;
14;14;374;AEME;AEMEC;AJ. EMB. MUEBLES CARPINTERÍA;1;0;;;0;57088;4;
15;15;5;AEMEC;AEMEC;Aj. emb. muebles carpintería;1;0;;;0;57088;5;
16;16;6;AEN;AEN;Autom. Eléct. Neum. e Hidrául.;1;0;;;0;48896;5;
17;17;7;AFA;AFA;Autom. Fabr.;1;0;;;0;40704;5;
18;18;454;AFA2;AFA2;Acondicionamiento físico en el agua;1;0;;;0;12648447;4;
19;19;8;AFD;AFD;Act. física y deportiva;1;0;;;0;2105599;5;
20;20;406;AFDE;AFDE;ACTIVIDADES FÍSICO-DEPORTIVAS DE EQUIPO;1;0;;;0;65535;4;
21;21;10;AFDI;AFI;Activ. Físico-Dep. Individ.;1;0;;;0;6316287;5;
22;22;407;AFDIM;AFDI;ACTIVIDADES FÍSICO-DEPORTIVAS DE IMPLEMENTOS;1;0;;;0;4259839;4;
23;23;408;AFDIS;AFDIS;ACTIVIDADES FÍSICO-DEPORTIVAS PARA LA INCLUSIÓN SOCIAL;1;0;;;0;8454143;4;
24;24;9;AFE;AFE;Activ. Físico-Dep. en Equipo;1;0;;;0;4210943;5;
25;25;11;AFP;AFP;Activ. Fís. para Pers.Discap.;1;0;;;0;8421631;5;
26;26;342;AFYD;;ACTIVIDAD FÍSICO Y DEPORTIVA;1;0;;;0;12648447;4;
27;27;401;AG;AG;Atención a grupos;1;0;;;0;16744576;4;
28;28;12;AGC;AGC;Admón. Gest. y Com. Peq. Empr.;1;0;;;0;16776960;5;
