ASIG;PROF;CODGRUPO;TURNO;NIVEL;CURSO;GRUPO;AULA;TAREA;DIA;HORA;SESIONES;MARCO;CCONCIERTO;NALUM;
DASP;OF12;1FME301;M;CFGS;1º;1;OT3;;2;2;1;0;;0;
DASP;MM02;1FME304;M;CFGS;1º;1;OT3;;1;3;1;0;;0;
DASP;EF9;1AFD201;M;CFGM;1º;1;A307;;5;1;1;0;;0;
DASP;OGC1;1VCOM304;V;CFGS;1º;1;A312;;2;11;1;0;;0;
DASP;SOL6;1VFME301;V;CFGS;1º;2;OT3;;1;11;1;0;;0;
PII;MM23;1IMA201;M;CFGM;1º;1;A306;;5;1;1;0;;0;
SASP;PGA4;1ADG301;M;CFGS;1º;1;A202;;2;1;1;0;;0;
SASP;EF9;1AFD301;M;CFGS;1º;1;A304;;5;5;1;0;;0;
PIMII;MM22;1VIMA302;V;CFGS;1º;2;LENS;;1;13;1;0;;0;
PIFMI;OF04;1FME302;M;CFGS;1º;1;OT2;;1;6;1;0;;0;
TCC;SOL8;1FME203;M;CFGM;1º;1;ATSO;;1;6;1;0;;0;
PIDWI;SAI4;1VIFC303;V;CFGS;1º;1;A306;;5;9;1;0;;0;
SASP;IE1;1VIMA302;V;CFGS;1º;2;TELE;;3;12;1;0;;0;
PIADFI;PGA5;1ADG301;M;CFGS;1º;1;A202;;2;4;1;0;;0;
TSF;OP1;1QUI304;M;CFGS;1º;1;LINS;;5;6;1;0;;0;
AFDI;EF5;1AFD301;M;CFGS;1º;1;CDM;;3;6;1;0;;0;
SASP;SOL2;1FME203;M;CFGM;1º;1;ATSO;;5;3;1;0;;0;
DASP;MM03;1FME202;M;CFGM;1º;1;LNEU;;5;6;1;0;;0;
PAF;EF4;2VAFD302;V;CFGS;2º;1;A002;;2;10;1;0;;0;
SASP;EF9;1AFD201;M;CFGM;1º;1;A002;;4;1;1;0;;0;
SASP;INF5;1IFC303;M;CFGS;1º;1;A204;;4;6;1;0;;0;
PIMPI;OGC1;1VCOM304;V;CFGS;1º;1;A312;;3;9;1;0;;0;
SASP;SAI4;1VIFC303;V;CFGS;1º;1;A306;;4;11;1;0;;0;
PIAFI;EF10;1VAFD302;V;CFGS;1º;1;APOL;;1;12;1;0;;0;
PII;EF6;1AFD201;M;CFGM;1º;1;APOL;;2;1;1;0;;0;
PIFMI;MM02;1FME304;M;CFGS;1º;1;LINS;;2;5;1;0;;0;
SASP;SOL3;1VFME203;V;CFGM;1º;2;A002;;3;11;1;0;;0;
TFME;MM02;1FME302;M;CFGS;1º;1;ATME;;5;4;1;0;;0;
DG;EF2;1AFD301;M;CFGS;1º;1;POL1;;1;1;1;0;;0;
PRL;PC8;1COM101;M;FPB;1º;1;A001;;2;3;1;0;;0;
SASP;OGC9;1COM201;M;CFGM;1º;1;A311;;2;5;1;0;;0;
SASP;OF12;1FME301;M;CFGS;1º;1;OT3;;2;1;1;0;;0;
PEAS;EF2;2AFD301;M;CFGS;2º;1;APOL;;3;6;1;0;;0;
TCC;SOL6;1VFME203;V;CFGM;1º;2;ATSO;;4;8;1;0;;0;
DASP;PGA5;1ADG301;M;CFGS;1º;1;A202;;3;3;1;0;;0;
AAPQ;OP1;1QUI304;M;CFGS;1º;1;LINS;;1;6;1;0;;0;
DASP;SAI5;1VIFC302;V;CFGS;1º;2;A204;;1;12;1;0;;0;
OI;EF3;1AFD201;M;CFGM;1º;1;A307;;3;1;1;0;;0;
